Palmdale,City,Los Angeles,"152,750",105.96,274.4,24-Aug-62
Palo Alto,City,Santa Clara,"64,403",23.88,61.8,"April 23, 1894"
Palos Verdes Estates,City,Los Angeles,"13,438",4.77,12.4,20-Dec-39
Paradise,Town,Butte,"26,218",18.31,47.4,27-Nov-79
Paramount,City,Los Angeles,"54,098",4.73,12.3,30-Jan-57
Parlier,City,Fresno,"14,494",2.19,5.7,15-Nov-21
Pasadena,City,Los Angeles,"137,122",22.97,59.5,"June 19, 1886"
Paso Robles,City,San Luis Obispo,"29,793",19.12,49.5,"March 11, 1889"
Patterson,City,Stanislaus,"20,413",5.95,15.4,22-Dec-19
Perris,City,Riverside,"68,386",31.39,81.3,26-May-11
Petaluma,City,Sonoma,"57,941",14.38,37.2,"April 12, 1858"
Pico Rivera,City,Los Angeles,"62,942",8.3,21.5,29-Jan-58
Piedmont,City,Alameda,"10,667",1.68,4.4,31-Jan-07
Pinole,City,Contra Costa,"18,390",5.32,13.8,25-Jun-03
Pismo Beach,City,San Luis Obispo,"7,655",3.6,9.3,25-Apr-46
Pittsburg,City,Contra Costa,"63,264",17.22,44.6,25-Jun-03
Placentia,City,Orange,"50,533",6.57,17,2-Dec-26
Placerville,City,El Dorado,"10,389",5.81,15,"May 13, 1854"
Pleasant Hill,City,Contra Costa,"33,152",7.07,18.3,14-Nov-61
Pleasanton,City,Alameda,"70,285",24.11,62.4,"June 18, 1894"
Plymouth,City,Amador,"1,005",0.93,2.4,8-Feb-17
Point Arena,City,Mendocino,449,1.35,3.5,11-Jul-08
Pomona,City,Los Angeles,"149,058",22.95,59.4,"January 6, 1888"
Port Hueneme,City,Ventura,"21,723",4.45,11.5,24-Mar-48
Porterville,City,Tulare,"54,165",17.61,45.6,7-May-02
Portola,City,Plumas,"2,104",5.41,14,16-May-46
Portola Valley,Town,San Mateo,"4,353",9.09,23.5,14-Jul-64
Poway,City,San Diego,"47,811",39.08,101.2,1-Dec-80
Rancho Cordova,City,Sacramento,"64,776",33.51,86.8,1-Jul-03
Rancho Cucamonga,City,San Bernardino,"165,269",39.85,103.2,30-Nov-77
Rancho Mirage,City,Riverside,"17,218",24.45,63.3,3-Aug-73
Rancho Palos Verdes,City,Los Angeles,"41,643",13.46,34.9,7-Sep-73
Rancho Santa Margarita,City,Orange,"47,853",12.96,33.6,1-Jan-00
Red Bluff,City,Tehama,"14,076",7.56,19.6,"March 31, 1876"
Redding,City,Shasta,"89,861",59.65,154.5,"October 4, 1887"
Redlands,City,San Bernardino,"68,747",36.13,93.6,"December 3, 1888"
Redondo Beach,City,Los Angeles,"66,747",6.2,16.1,"April 29, 1892"
Redwood City,City,San Mateo,"76,815",19.42,50.3,"May 11, 1867"
Reedley,City,Fresno,"24,194",5.08,13.2,18-Feb-13
Rialto,City,San Bernardino,"99,171",22.35,57.9,17-Nov-11
Richmond,City,Contra Costa,"103,701",30.07,77.9,7-Aug-05
Ridgecrest,City,Kern,"27,616",20.77,53.8,29-Nov-63
Rio Dell,City,Humboldt,"3,368",2.28,5.9,23-Feb-65
Rio Vista,City,Solano,"7,360",6.69,17.3,"January 6, 1894"
Ripon,City,San Joaquin,"14,297",5.3,13.7,27-Nov-45
Riverbank,City,Stanislaus,"22,678",4.09,10.6,23-Aug-22
Riverside,City,Riverside,"303,871",81.14,210.2,"October 11, 1883"
Rocklin,City,Placer,"56,974",19.54,50.6,"February 24, 1893"
Rohnert Park,City,Sonoma,"40,971",7,18.1,28-Aug-62
Rolling Hills,City,Los Angeles,"1,860",2.99,7.7,24-Jan-57
Rolling Hills Estates,City,Los Angeles,"8,067",3.57,9.2,18-Sep-57
Rosemead,City,Los Angeles,"53,764",5.16,13.4,4-Aug-59
Roseville,City,Placer,"118,788",36.22,93.8,10-Apr-09
Ross,Town,Marin,"2,415",1.56,4,21-Aug-08
Sacramento,City,Sacramento,"466,488",97.92,253.6,"February 27, 1850"
St. Helena,City,Napa,"5,814",4.99,12.9,"March 24, 1876"
Salinas,City,Monterey,"150,441",23.18,60,"March 4, 1874"
San Anselmo,Town,Marin,"12,336",2.68,6.9,9-Apr-07
San Bernardino,City,San Bernardino,"209,924",59.2,153.3,"August 10, 1869"
San Bruno,City,San Mateo,"41,114",5.48,14.2,23-Dec-14
San Carlos,City,San Mateo,"28,406",5.54,14.3,8-Jul-25
San Clemente,City,Orange,"63,522",18.71,48.5,28-Feb-28
San Diego,City,San Diego,"1,301,617",325.19,842.2,"March 27, 1850"
San Dimas,City,Los Angeles,"33,371",15.04,39,4-Aug-60
San Fernando,City,Los Angeles,"23,645",2.37,6.1,31-Aug-11
San Francisco,City and county,San Francisco,"805,235",46.87,121.4,"April 15, 1850[12]"
San Gabriel,City,Los Angeles,"39,718",4.14,10.7,24-Apr-13
San Jacinto,City,Riverside,"44,199",25.72,66.6,"April 20, 1888"
San Joaquin,City,Fresno,"4,001",1.15,3,14-Feb-20
San Jose,City,Santa Clara,"945,942",176.53,457.2,"March 27, 1850"
San Juan Bautista,City,San Benito,"1,862",0.71,1.8,"May 4, 1896"
San Juan Capistrano,City,Orange,"34,593",14.12,36.6,19-Apr-61
